procs|alg|input|items|utc|ts|duration
1|quicksort_random|reversed|10000|13 Jun 2019  4:05:18.991984|1560398718992015|4.631000
1|quicksort_random|random|10|13 Jun 2019  4:05:23.623671|1560398723623696|0.000000
1|quicksort_random|random|100|13 Jun 2019  4:05:23.623807|1560398723623832|0.000000
1|quicksort_random|random|1000|13 Jun 2019  4:05:23.624492|1560398723624512|0.044000
1|quicksort_random|random|10000|13 Jun 2019  4:05:23.668935|1560398723668967|4.667000
1|quicksort_random|interleaved|8|13 Jun 2019  4:05:28.339751|1560398728339777|0.000000
1|quicksort_random|interleaved|100|13 Jun 2019  4:05:28.339903|1560398728339921|0.001000
1|quicksort_random|interleaved|1000|13 Jun 2019  4:05:28.340748|1560398728340778|0.047000
1|quicksort_random|interleaved|10000|13 Jun 2019  4:05:28.388892|1560398728388914|4.917000
1|quicksort_random|bucketed|10|13 Jun 2019  4:05:33.308796|1560398733308830|0.000000
1|quicksort_random|bucketed|100|13 Jun 2019  4:05:33.308963|1560398733308984|0.001000
1|quicksort_random|bucketed|1000|13 Jun 2019  4:05:33.309725|1560398733309748|0.043000
1|quicksort_random|bucketed|10000|13 Jun 2019  4:05:33.353119|1560398733353151|4.680000
1|heapsort|constant|10|13 Jun 2019  4:05:38.041909|1560398738041966|0.000000
1|heapsort|constant|100|13 Jun 2019  4:05:38.042192|1560398738042242|0.002000
1|heapsort|constant|1000|13 Jun 2019  4:05:38.043829|1560398738043881|0.057000
1|heapsort|constant|10000|13 Jun 2019  4:05:38.100922|1560398738100950|4.146000
1|heapsort|sorted|10|13 Jun 2019  4:05:42.247467|1560398742247496|0.001000
1|heapsort|sorted|100|13 Jun 2019  4:05:42.247649|1560398742247673|0.002000
1|heapsort|sorted|1000|13 Jun 2019  4:05:42.249739|1560398742249765|0.072000
1|heapsort|sorted|10000|13 Jun 2019  4:05:42.321973|1560398742322015|4.952000
1|heapsort|reversed|10|13 Jun 2019  4:05:47.274382|1560398747274413|0.000000
1|heapsort|reversed|100|13 Jun 2019  4:05:47.274561|1560398747274582|0.001000
1|heapsort|reversed|1000|13 Jun 2019  4:05:47.276232|1560398747276252|0.063000
1|heapsort|reversed|10000|13 Jun 2019  4:05:47.339463|1560398747339493|4.906000
1|heapsort|random|10|13 Jun 2019  4:05:52.245557|1560398752245588|0.000000
1|heapsort|random|100|13 Jun 2019  4:05:52.245771|1560398752245795|0.001000
1|heapsort|random|1000|13 Jun 2019  4:05:52.247323|1560398752247342|0.087000
1|heapsort|random|10000|13 Jun 2019  4:05:52.334504|1560398752334530|4.965000
1|heapsort|interleaved|8|13 Jun 2019  4:05:57.304684|1560398757304740|0.000000
1|heapsort|interleaved|100|13 Jun 2019  4:05:57.304890|1560398757304908|0.001000
1|heapsort|interleaved|1000|13 Jun 2019  4:05:57.306510|1560398757306532|0.065000
1|heapsort|interleaved|10000|13 Jun 2019  4:05:57.371741|1560398757371773|5.000000
1|heapsort|bucketed|10|13 Jun 2019  4:06:02.374971|1560398762375028|0.000000
1|heapsort|bucketed|100|13 Jun 2019  4:06:02.375204|1560398762375229|0.001000
1|heapsort|bucketed|1000|13 Jun 2019  4:06:02.376601|1560398762376657|0.067000
1|heapsort|bucketed|10000|13 Jun 2019  4:06:02.444437|1560398762444464|5.049000
1|bucketsort|constant|10|13 Jun 2019  4:06:07.498083|1560398767498116|0.000000
1|bucketsort|constant|100|13 Jun 2019  4:06:07.498258|1560398767498282|0.001000
1|bucketsort|constant|1000|13 Jun 2019  4:06:07.499571|1560398767499597|0.086000
1|bucketsort|constant|10000|13 Jun 2019  4:06:07.586005|1560398767586036|8.827000
1|bucketsort|sorted|10|13 Jun 2019  4:06:16.413285|1560398776413309|0.000000
1|bucketsort|sorted|100|13 Jun 2019  4:06:16.413422|1560398776413440|0.001000
1|bucketsort|sorted|1000|13 Jun 2019  4:06:16.414167|1560398776414189|0.072000
1|bucketsort|sorted|10000|13 Jun 2019  4:06:16.486998|1560398776487044|5.616000
1|bucketsort|reversed|10|13 Jun 2019  4:06:22.103704|1560398782103727|0.000000
1|bucketsort|reversed|100|13 Jun 2019  4:06:22.103828|1560398782103845|0.000000
1|bucketsort|reversed|1000|13 Jun 2019  4:06:22.104518|1560398782104536|0.053000
1|bucketsort|reversed|10000|13 Jun 2019  4:06:22.157606|1560398782157629|5.302000
1|bucketsort|random|10|13 Jun 2019  4:06:27.461039|1560398787461091|0.000000
1|bucketsort|random|100|13 Jun 2019  4:06:27.461317|1560398787461361|0.002000
1|bucketsort|random|1000|13 Jun 2019  4:06:27.463234|1560398787463281|0.060000
1|bucketsort|random|10000|13 Jun 2019  4:06:27.523109|1560398787523132|5.599000
1|bucketsort|interleaved|8|13 Jun 2019  4:06:33.125061|1560398793125092|0.000000
