procs|alg|input|items|utc|ts|duration|func
5|dummy_sort|random|1000|14 Jun 2019 21:30:34.768327|1560547834768384|0.001000|all
5|dummy_sort|random|10000|14 Jun 2019 21:30:34.770878|1560547834770898|0.00000000|frag
5|dummy_sort|random|10000|14 Jun 2019 21:30:34.773565|1560547834773600|0.00300000|rpcpmap
5|dummy_sort|random|10000|14 Jun 2019 21:30:34.775901|1560547834775954|0.00200000|merge
5|dummy_sort|random|10000|14 Jun 2019 21:30:34.770397|1560547834770434|0.006000|all
5|dummy_sort|random|100000|14 Jun 2019 21:30:34.789757|1560547834789800|0.00500000|frag
5|dummy_sort|random|100000|14 Jun 2019 21:30:34.813391|1560547834813441|0.02400000|rpcpmap
5|dummy_sort|random|100000|14 Jun 2019 21:30:34.828135|1560547834828181|0.01400000|merge
5|dummy_sort|random|100000|14 Jun 2019 21:30:34.783786|1560547834783847|0.045000|all
5|dummy_sort|random|1000000|14 Jun 2019 21:30:34.947813|1560547834947858|0.06800000|frag
5|dummy_sort|random|1000000|14 Jun 2019 21:30:35.237393|1560547835237444|0.28900000|rpcpmap
5|dummy_sort|random|1000000|14 Jun 2019 21:30:35.442972|1560547835443011|0.20500000|merge
5|dummy_sort|random|1000000|14 Jun 2019 21:30:34.874156|1560547834874195|0.570000|all
5|quicksort_random|random|10|14 Jun 2019 21:30:36.146767|1560547836146789|0.00000000|frag
5|quicksort_random|random|10|14 Jun 2019 21:30:36.147204|1560547836147224|0.00000000|rpcpmap
5|quicksort_random|random|10|14 Jun 2019 21:30:36.147405|1560547836147431|0.00000000|merge
5|quicksort_random|random|10|14 Jun 2019 21:30:36.146725|1560547836146760|0.001000|all
5|quicksort_random|random|100|14 Jun 2019 21:30:36.148016|1560547836148038|0.00000000|frag
5|quicksort_random|random|100|14 Jun 2019 21:30:36.148582|1560547836148604|0.00000000|rpcpmap
5|quicksort_random|random|100|14 Jun 2019 21:30:36.149056|1560547836149077|0.00000000|merge
5|quicksort_random|random|100|14 Jun 2019 21:30:36.147979|1560547836148008|0.002000|all
5|quicksort_random|random|1000|14 Jun 2019 21:30:36.149725|1560547836149747|0.00000000|frag
5|quicksort_random|random|1000|14 Jun 2019 21:30:36.151384|1560547836151441|0.00200000|rpcpmap
5|quicksort_random|random|1000|14 Jun 2019 21:30:36.156232|1560547836156284|0.00400000|merge
5|quicksort_random|random|1000|14 Jun 2019 21:30:36.149635|1560547836149662|0.007000|all
5|quicksort_random|random|10000|14 Jun 2019 21:30:36.159321|1560547836159368|0.00100000|frag
5|quicksort_random|random|10000|14 Jun 2019 21:30:36.174347|1560547836174498|0.01500000|rpcpmap
5|quicksort_random|random|10000|14 Jun 2019 21:30:36.200548|1560547836200598|0.02600000|merge
5|quicksort_random|random|10000|14 Jun 2019 21:30:36.158037|1560547836158090|0.043000|all
5|quicksort_random|random|100000|14 Jun 2019 21:30:36.218154|1560547836218203|0.00800000|frag
5|quicksort_random|random|100000|14 Jun 2019 21:30:36.362051|1560547836362093|0.14300000|rpcpmap
5|quicksort_random|random|100000|14 Jun 2019 21:30:36.683904|1560547836683938|0.32100000|merge
5|quicksort_random|random|100000|14 Jun 2019 21:30:36.209196|1560547836209257|0.476000|all
5|quicksort_random|random|1000000|14 Jun 2019 21:30:36.801710|1560547836801774|0.05600000|frag
5|quicksort_random|random|1000000|14 Jun 2019 21:30:38.036578|1560547838036643|1.23500000|rpcpmap
5|quicksort_random|random|1000000|14 Jun 2019 21:30:41.801536|1560547841801576|3.76500000|merge
5|quicksort_random|random|1000000|14 Jun 2019 21:30:36.740584|1560547836740631|5.061000|all
4|dummy_sort|random|10|14 Jun 2019 21:30:42.568212|1560547842568243|0.00000000|frag
4|dummy_sort|random|10|14 Jun 2019 21:30:42.568659|1560547842568736|0.00000000|rpcpmap
4|dummy_sort|random|10|14 Jun 2019 21:30:42.569318|1560547842569362|0.00000000|merge
4|dummy_sort|random|10|14 Jun 2019 21:30:42.568156|1560547842568202|0.002000|all
4|dummy_sort|random|100|14 Jun 2019 21:30:42.569879|1560547842569900|0.00000000|frag
4|dummy_sort|random|100|14 Jun 2019 21:30:42.570226|1560547842570253|0.00000000|rpcpmap
4|dummy_sort|random|100|14 Jun 2019 21:30:42.570515|1560547842570542|0.00000000|merge
4|dummy_sort|random|100|14 Jun 2019 21:30:42.569843|1560547842569870|0.001000|all
4|dummy_sort|random|1000|14 Jun 2019 21:30:42.571118|1560547842571140|0.00000000|frag
4|dummy_sort|random|1000|14 Jun 2019 21:30:42.571709|1560547842571738|0.00000000|rpcpmap
4|dummy_sort|random|1000|14 Jun 2019 21:30:42.572087|1560547842572117|0.00000000|merge
4|dummy_sort|random|1000|14 Jun 2019 21:30:42.571032|1560547842571060|0.001000|all
4|dummy_sort|random|10000|14 Jun 2019 21:30:42.573329|1560547842573349|0.00000000|frag
4|dummy_sort|random|10000|14 Jun 2019 21:30:42.576264|1560547842576293|0.00200000|rpcpmap
4|dummy_sort|random|10000|14 Jun 2019 21:30:42.578881|1560547842578935|0.00200000|merge
4|dummy_sort|random|10000|14 Jun 2019 21:30:42.572881|1560547842572910|0.007000|all
4|dummy_sort|random|100000|14 Jun 2019 21:30:42.593229|1560547842593284|0.00700000|frag
4|dummy_sort|random|100000|14 Jun 2019 21:30:42.636165|1560547842636230|0.04200000|rpcpmap
4|dummy_sort|random|100000|14 Jun 2019 21:30:42.652885|1560547842652923|0.01600000|merge
4|dummy_sort|random|100000|14 Jun 2019 21:30:42.585110|1560547842585183|0.068000|all
4|dummy_sort|random|1000000|14 Jun 2019 21:30:42.784576|1560547842784610|0.06200000|frag
4|dummy_sort|random|1000000|14 Jun 2019 21:30:43.122830|1560547843122878|0.33800000|rpcpmap
4|dummy_sort|random|1000000|14 Jun 2019 21:30:43.338773|1560547843338813|0.21600000|merge
4|dummy_sort|random|1000000|14 Jun 2019 21:30:42.718750|1560547842718809|0.620000|all
4|quicksort_random|random|10|14 Jun 2019 21:30:44.080982|1560547844081005|0.00000000|frag
4|quicksort_random|random|10|14 Jun 2019 21:30:44.081360|1560547844081387|0.00100000|rpcpmap
4|quicksort_random|random|10|14 Jun 2019 21:30:44.081616|1560547844081643|0.00000000|merge
4|quicksort_random|random|10|14 Jun 2019 21:30:44.080941|1560547844080976|0.001000|all
4|quicksort_random|random|100|14 Jun 2019 21:30:44.082212|1560547844082234|0.00000000|frag
4|quicksort_random|random|100|14 Jun 2019 21:30:44.082811|1560547844082834|0.00000000|rpcpmap
4|quicksort_random|random|100|14 Jun 2019 21:30:44.083271|1560547844083292|0.00000000|merge
4|quicksort_random|random|100|14 Jun 2019 21:30:44.082171|1560547844082204|0.002000|all
4|quicksort_random|random|1000|14 Jun 2019 21:30:44.083999|1560547844084016|0.00000000|frag
4|quicksort_random|random|1000|14 Jun 2019 21:30:44.085691|1560547844085716|0.00200000|rpcpmap
4|quicksort_random|random|1000|14 Jun 2019 21:30:44.089809|1560547844089862|0.00400000|merge
4|quicksort_random|random|1000|14 Jun 2019 21:30:44.083911|1560547844083940|0.006000|all
4|quicksort_random|random|10000|14 Jun 2019 21:30:44.092634|1560547844092705|0.00100000|frag
4|quicksort_random|random|10000|14 Jun 2019 21:30:44.108959|1560547844109000|0.01600000|rpcpmap
4|quicksort_random|random|10000|14 Jun 2019 21:30:44.135037|1560547844135075|0.02600000|merge
4|quicksort_random|random|10000|14 Jun 2019 21:30:44.091427|1560547844091480|0.044000|all
4|quicksort_random|random|100000|14 Jun 2019 21:30:44.151131|1560547844151178|0.00800000|frag
4|quicksort_random|random|100000|14 Jun 2019 21:30:44.294228|1560547844294396|0.14200000|rpcpmap
4|quicksort_random|random|100000|14 Jun 2019 21:30:44.599436|1560547844599472|0.30500000|merge
4|quicksort_random|random|100000|14 Jun 2019 21:30:44.142377|1560547844142448|0.457000|all
4|quicksort_random|random|1000000|14 Jun 2019 21:30:44.719989|1560547844720024|0.06400000|frag
4|quicksort_random|random|1000000|14 Jun 2019 21:30:46.109011|1560547846109056|1.38900000|rpcpmap
4|quicksort_random|random|1000000|14 Jun 2019 21:30:50.147361|1560547850147403|4.03800000|merge
4|quicksort_random|random|1000000|14 Jun 2019 21:30:44.650240|1560547844650277|5.498000|all
3|dummy_sort|random|10|14 Jun 2019 21:59:56.474428|1560549596474446|0.00000000|frag
